Period,Sender,Receiver,Group,OthersContribution,Points
3,7,19,6,20,0
3,7,21,6,0,0
3,7,23,6,10,0
3,8,1,3,12,0
3,8,17,3,20,0
3,8,24,3,20,0
3,9,5,2,7,0
3,9,13,2,20,0
3,9,18,2,4,0
3,10,2,1,6,0
3,10,6,1,10,0
3,10,16,1,10,0
3,11,14,5,10,0
3,11,20,5,10,0
3,11,22,5,10,0
3,12,3,4,7,-4
3,12,4,4,0,-5
3,12,15,4,20,0
3,13,5,2,7,-2
3,13,9,2,5,-3
3,13,18,2,4,-4
3,14,11,5,2,0
3,14,20,5,10,0
3,14,22,5,10,0
3,15,3,4,7,0
3,15,4,4,0,0
3,15,12,4,20,0
3,16,2,1,6,0
3,16,6,1,10,0
3,16,10,1,8,0
3,17,1,3,12,0
3,17,8,3,4,0
3,17,24,3,20,0
3,18,5,2,7,0
3,18,9,2,5,0
3,18,13,2,20,0
3,19,7,6,20,0
3,19,21,6,0,0
3,19,23,6,10,0
3,20,11,5,2,-1
3,20,14,5,10,0
3,20,22,5,10,0
3,21,7,6,20,0
3,21,19,6,20,0
3,21,23,6,10,0
3,22,11,5,2,0
3,22,14,5,10,0
3,22,20,5,10,0
3,23,7,6,20,0
3,23,19,6,20,0
3,23,21,6,0,-1
3,24,1,3,12,0
3,24,8,3,4,0
3,24,17,3,20,0
4,1,9,6,10,0
4,1,15,6,20,0
4,1,17,6,20,0
4,2,7,1,20,0
4,2,12,1,20,0
4,2,19,1,20,0
4,3,4,5,10,0
4,3,8,5,4,0
4,3,13,5,20,0
4,4,3,5,8,0
4,4,8,5,4,-3
4,4,13,5,20,0
4,5,6,3,8,0
4,5,20,3,10,0
4,5,24,3,2,0
4,6,5,3,5,-3
4,6,20,3,10,-2
4,6,24,3,2,-4
4,7,2,1,9,0
4,7,12,1,20,0
4,7,19,1,20,0
4,8,3,5,8,0
4,8,4,5,10,0
4,8,13,5,20,0
4,9,1,6,0,0
4,9,15,6,20,0
4,9,17,6,20,0
4,10,11,2,1,-3
4,10,14,2,10,0
4,10,18,2,6,-2
4,11,10,2,7,0
4,11,14,2,10,0
4,11,18,2,6,0
4,12,2,1,9,-2
4,12,7,1,20,0
4,12,19,1,20,0
4,13,3,5,8,-4
4,13,4,5,10,-3
4,13,8,5,4,-6
4,14,10,2,7,0
4,14,11,2,1,0
4,14,18,2,6,0
4,15,1,6,0,0
4,15,9,6,10,0
4,15,17,6,20,0
4,16,21,4,0,0
4,16,22,4,20,0
4,16,23,4,14,0
4,17,1,6,0,0
4,17,9,6,10,0
4,17,15,6,20,0
4,18,10,2,7,0
4,18,11,2,1,0
4,18,14,2,10,0
4,19,2,1,9,0
4,19,7,1,20,0
4,19,12,1,20,0
4,20,5,3,5,0
4,20,6,3,8,0
4,20,24,3,2,-1
4,21,16,4,7,0
4,21,22,4,20,0
4,21,23,4,14,0
4,22,16,4,7,0
4,22,21,4,0,0
4,22,23,4,14,0
4,23,16,4,7,-1
4,23,21,4,0,-1
4,23,22,4,20,0
4,24,5,3,5,0
4,24,6,3,8,0
4,24,20,3,10,0
5,1,3,6,7,0
5,1,16,6,8,0
5,1,24,6,5,0
5,2,5,4,8,0
5,2,9,4,9,0
5,2,17,4,10,0
5,3,1,6,0,0
5,3,16,6,8,0
5,3,24,6,5,0
5,4,8,1,10,0
5,4,14,1,8,-5
5,4,22,1,20,0
5,5,2,4,15,0
5,5,9,4,9,0
5,5,17,4,10,0
5,6,7,3,20,0
5,6,13,3,20,0
5,6,20,3,8,-2
5,7,6,3,4,0
5,7,13,3,20,0
5,7,20,3,8,0
5,8,4,1,20,0
5,8,14,1,8,0
5,8,22,1,20,0
5,9,2,4,15,0
5,9,5,4,8,0
5,9,17,4,10,0
5,10,15,2,20,0
5,10,18,2,5,-2
5,10,23,2,20,0
5,11,12,5,20,0
5,11,19,5,20,0
5,11,21,5,0,0
5,12,11,5,2,-5
5,12,19,5,20,0
5,12,21,5,0,-5
5,13,6,3,4,-6
5,13,7,3,20,0
5,13,20,3,8,-5
5,14,4,1,20,0
5,14,8,1,10,0
5,14,22,1,20,0
5,15,10,2,7,0
5,15,18,2,5,0
5,15,23,2,20,0
5,16,1,6,0,-2
5,16,3,6,7,0
5,16,24,6,5,0
5,17,2,4,15,0
5,17,5,4,8,0
5,17,9,4,9,0
5,18,10,2,7,0
5,18,15,2,20,0
5,18,23,2,20,0
5,19,11,5,2,0
5,19,12,5,20,0
5,19,21,5,0,0
5,20,6,3,4,0
5,20,7,3,20,0
5,20,13,3,20,0
5,21,11,5,2,0
5,21,12,5,20,0
5,21,19,5,20,0
5,22,4,1,20,0
5,22,8,1,10,0
5,22,14,1,8,0
5,23,10,2,7,-1
5,23,15,2,20,0
5,23,18,2,5,-1
5,24,1,6,0,0
5,24,3,6,7,0
5,24,16,6,8,0
6,1,15,3,20,0
6,1,17,3,10,0
6,1,18,3,7,0
6,2,4,1,10,0
6,2,20,1,10,0
6,2,21,1,10,0
6,3,8,5,10,0
6,3,19,5,0,0
6,3,23,5,12,0
6,4,2,1,12,0
6,4,20,1,10,0
6,4,21,1,10,0
6,5,9,4,8,0
6,5,12,4,20,0
6,5,16,4,7,0
6,6,10,6,7,-2
6,6,13,6,20,0
6,6,24,6,5,-2
6,7,11,2,0,0
6,7,14,2,15,0
6,7,22,2,20,0
6,8,3,5,7,0
6,8,19,5,0,-3
6,8,23,5,12,0
6,9,5,4,10,0
6,9,12,4,20,0
6,9,16,4,7,0
6,10,6,6,6,-1
6,10,13,6,20,0
6,10,24,6,5,-1
6,11,7,2,20,0
6,11,14,2,15,0
6,11,22,2,20,0
6,12,5,4,10,-1
6,12,9,4,8,-2
6,12,16,4,7,-2
6,13,6,6,6,-4
6,13,10,6,7,-4
6,13,24,6,5,-5
6,14,7,2,20,0
6,14,11,2,0,-1
6,14,22,2,20,0
6,15,1,3,10,0
6,15,17,3,10,0
6,15,18,3,7,0
6,16,5,4,10,0
6,16,9,4,8,0
6,16,12,4,20,0
6,17,1,3,10,0
6,17,15,3,20,0
6,17,18,3,7,0
6,18,1,3,10,0
6,18,15,3,20,0
6,18,17,3,10,0
6,19,3,5,7,0
6,19,8,5,10,0
6,19,23,5,12,0
6,20,2,1,12,0
6,20,4,1,10,0
6,20,21,1,10,0
6,21,2,1,12,0
6,21,4,1,10,0
6,21,20,1,10,0
6,22,7,2,20,0
6,22,11,2,0,0
6,22,14,2,15,0
6,23,3,5,7,0
6,23,8,5,10,0
6,23,19,5,0,-1
6,24,6,6,6,0
6,24,10,6,7,0
6,24,13,6,20,0
7,1,5,3,10,0
7,1,12,3,0,0
7,1,18,3,7,0
7,2,19,1,20,0
7,2,22,1,20,0
7,2,23,1,7,0
7,3,10,4,7,0
7,3,15,4,20,0
7,3,24,4,5,0
7,4,14,6,15,0
7,4,17,6,8,0
7,4,21,6,10,0
7,5,1,3,5,0
7,5,12,3,0,-2
7,5,18,3,7,0
7,6,8,2,10,-2
7,6,9,2,9,-2
7,6,11,2,2,-3
7,7,13,5,20,0
7,7,16,5,7,0
7,7,20,5,10,0
7,8,6,2,12,0
7,8,9,2,9,0
7,8,11,2,2,-2
7,9,6,2,12,0
7,9,8,2,10,0
7,9,11,2,2,0
7,10,3,4,7,0
7,10,15,4,20,-3
7,10,24,4,5,-1
7,11,6,2,12,0
7,11,8,2,10,0
7,11,9,2,9,0
7,12,1,3,5,0
7,12,5,3,10,0
7,12,18,3,7,0
7,13,7,5,20,0
7,13,16,5,7,-7
7,13,20,5,10,-3
7,14,4,6,10,0
7,14,17,6,8,0
7,14,21,6,10,0
7,15,3,4,7,0
7,15,10,4,7,0
7,15,24,4,5,0
7,16,7,5,20,0
7,16,13,5,20,0
7,16,20,5,10,0
7,17,4,6,10,0
7,17,14,6,15,0
7,17,21,6,10,0
7,18,1,3,5,0
7,18,5,3,10,0
7,18,12,3,0,0
7,19,2,1,11,0
7,19,22,1,20,0
7,19,23,1,7,0
7,20,7,5,20,0
7,20,13,5,20,0
7,20,16,5,7,0
7,21,4,6,10,0
7,21,14,6,15,0
7,21,17,6,8,0
7,22,2,1,11,0
7,22,19,1,20,0
7,22,23,1,7,0
7,23,2,1,11,0
7,23,19,1,20,0
7,23,22,1,20,0
7,24,3,4,7,0
7,24,10,4,7,0
7,24,15,4,20,0
8,1,6,1,12,0
8,1,12,1,0,0
8,1,13,1,20,0
8,2,5,4,10,0
8,2,7,4,20,0
8,2,24,4,5,-1
8,3,15,6,7,0
8,3,17,6,8,0
8,3,23,6,5,0
8,4,8,3,10,0
8,4,18,3,6,-2
8,4,20,3,11,0
8,5,2,4,12,0
8,5,7,4,20,0
8,5,24,4,5,0
8,6,1,1,0,-4
8,6,12,1,0,-4
8,6,13,1,20,0
8,7,2,4,12,0
8,7,5,4,10,0
8,7,24,4,5,0
8,8,4,3,10,0
8,8,18,3,6,0
8,8,20,3,11,0
8,9,10,2,7,0
8,9,19,2,20,0
8,9,22,2,20,0
8,10,9,2,10,-1
8,10,19,2,20,-2
8,10,22,2,20,-2
8,11,14,5,15,0
8,11,16,5,10,0
8,11,21,5,5,0
8,12,1,1,0,0
8,12,6,1,12,0
8,12,13,1,20,0
8,13,1,1,0,-7
8,13,6,1,12,0
8,13,12,1,0,-7
8,14,11,5,2,-1
8,14,16,5,10,0
8,14,21,5,5,0
8,15,3,6,7,0
8,15,17,6,8,0
8,15,23,6,5,0
8,16,11,5,2,-1
8,16,14,5,15,0
8,16,21,5,5,-1
8,17,3,6,7,0
8,17,15,6,7,0
8,17,23,6,5,0
8,18,4,3,10,0
8,18,8,3,10,0
8,18,20,3,11,0
8,19,9,2,10,0
8,19,10,2,7,0
8,19,22,2,20,0
8,20,4,3,10,0
8,20,8,3,10,0
8,20,18,3,6,0
8,21,11,5,2,0
8,21,14,5,15,0
8,21,16,5,10,0
8,22,9,2,10,0
8,22,10,2,7,0
8,22,19,2,20,0
8,23,3,6,7,0
8,23,15,6,7,0
8,23,17,6,8,0
8,24,2,4,12,0
8,24,5,4,10,0
8,24,7,4,20,0
9,1,4,5,9,0
9,1,6,5,11,0
9,1,8,5,10,0
9,2,9,6,10,0
9,2,11,6,2,-1
9,2,13,6,20,0
9,3,16,3,10,0
9,3,18,3,7,0
9,3,21,3,8,0
9,4,1,5,10,0
9,4,6,5,11,0
9,4,8,5,10,0
9,5,10,4,9,0
9,5,14,4,15,0
9,5,20,4,11,0
9,6,1,5,10,0
9,6,4,5,9,0
9,6,8,5,10,0
9,7,12,1,0,0
9,7,19,1,5,0
9,7,23,1,7,0
9,8,1,5,10,0
9,8,4,5,9,0
9,8,6,5,11,0
9,9,2,6,15,0
9,9,11,6,2,0
9,9,13,6,20,0
9,10,5,4,10,0
9,10,14,4,15,0
9,10,20,4,11,0
9,11,2,6,15,0
9,11,9,6,10,0
9,11,13,6,20,0
9,12,7,1,20,0
9,12,19,1,5,0
9,12,23,1,7,0
9,13,2,6,15,0
9,13,9,6,10,-2
9,13,11,6,2,-8
9,14,5,4,10,0
9,14,10,4,9,0
9,14,20,4,11,0
9,15,17,2,6,0
9,15,22,2,20,0
9,15,24,2,5,0
9,16,3,3,7,0
9,16,18,3,7,0
9,16,21,3,8,0
9,17,15,2,8,0
9,17,22,2,20,0
9,17,24,2,5,0
9,18,3,3,7,0
9,18,16,3,10,0
9,18,21,3,8,0
9,19,7,1,20,0
9,19,12,1,0,0
9,19,23,1,7,0
9,20,5,4,10,0
9,20,10,4,9,0
9,20,14,4,15,0
9,21,3,3,7,0
9,21,16,3,10,0
9,21,18,3,7,0
9,22,15,2,8,0
9,22,17,2,6,0
9,22,24,2,5,0
9,23,7,1,20,0
9,23,12,1,0,-1
9,23,19,1,5,-1
9,24,15,2,8,0
9,24,17,2,6,0
9,24,22,2,20,0
10,1,12,2,0,-2
10,1,14,2,15,0
10,1,18,2,7,0
10,2,3,6,7,0
10,2,5,6,10,0
10,2,9,6,10,0
10,3,2,6,11,0
10,3,5,6,10,0
10,3,9,6,10,0
10,4,13,3,20,0
10,4,19,3,5,-2
10,4,20,3,11,0
10,5,2,6,11,0
10,5,3,6,7,0
10,5,9,6,10,0
10,6,11,4,5,-2
10,6,17,4,5,-2
10,6,21,4,0,-4
10,7,10,1,10,0
10,7,16,1,8,0
10,7,22,1,20,0
10,8,15,5,7,-1
10,8,23,5,7,-1
10,8,24,5,5,-1
10,9,2,6,11,0
10,9,3,6,7,0
10,9,5,6,10,0
10,10,7,1,20,0
10,10,16,1,8,-2
10,10,22,1,20,0
10,11,6,4,10,0
10,11,17,4,5,0
10,11,21,4,0,0
10,12,1,2,15,0
10,12,14,2,15,0
10,12,18,2,7,0
10,13,4,3,9,-3
10,13,19,3,5,-7
10,13,20,3,11,-4
10,14,1,2,15,0
10,14,12,2,0,-1
10,14,18,2,7,0
10,15,8,5,10,0
10,15,23,5,7,0
10,15,24,5,5,0
10,16,7,1,20,0
10,16,10,1,10,0
10,16,22,1,20,0
10,17,6,4,10,0
10,17,11,4,5,0
10,17,21,4,0,0
10,18,1,2,15,0
10,18,12,2,0,0
10,18,14,2,15,0
10,19,4,3,9,0
10,19,13,3,20,0
10,19,20,3,11,0
10,20,4,3,9,0
10,20,13,3,20,0
10,20,19,3,5,0
10,21,6,4,10,0
10,21,11,4,5,0
10,21,17,4,5,0
10,22,7,1,20,0
10,22,10,1,10,0
10,22,16,1,8,0
10,23,8,5,10,0
10,23,15,5,7,0
10,23,24,5,5,-1
10,24,8,5,10,0
10,24,15,5,7,0
10,24,23,5,7,0
